Date,Open,High,Low,Close,Volume,Count,WAP
20220324 13:01:00 America/Los_Angeles,43946.125,43946.125,43946.125,43946.125,-1,-1,-1
20220324 13:01:05 America/Los_Angeles,43946.125,43946.125,43946.125,43946.125,-1,-1,-1
20220324 13:01:10 America/Los_Angeles,43946.125,43946.125,43946.125,43946.125,-1,-1,-1
20220324 13:01:15 America/Los_Angeles,43946.125,43946.125,43933.625,43933.625,-1,-1,-1
20220324 13:01:20 America/Los_Angeles,43933.625,43933.625,43929.125,43929.125,-1,-1,-1
20220324 13:01:25 America/Los_Angeles,43929.125,43929.125,43898.625,43898.625,-1,-1,-1
20220324 13:01:30 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:01:35 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:01:40 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:01:45 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:01:50 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:01:55 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:02:00 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:02:05 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:02:10 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:02:15 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:02:20 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:02:25 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:02:30 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:02:35 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:02:40 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:02:45 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:02:50 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:02:55 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:03:00 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:03:05 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:03:10 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:03:15 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:03:20 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:03:25 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:03:30 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:03:35 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:03:40 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:03:45 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:03:50 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:03:55 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:04:00 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:04:05 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:04:10 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:04:15 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:04:20 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:04:25 America/Los_Angeles,43898.625,43898.625,43898.625,43898.625,-1,-1,-1
20220324 13:04:30 America/Los_Angeles,43898.625,43899.625,43898.625,43899.625,-1,-1,-1
20220324 13:04:35 America/Los_Angeles,43899.625,43899.625,43899.625,43899.625,-1,-1,-1
20220324 13:04:40 America/Los_Angeles,43899.625,43899.625,43899.625,43899.625,-1,-1,-1
20220324 13:04:45 America/Los_Angeles,43899.625,43899.625,43899.625,43899.625,-1,-1,-1
20220324 13:04:50 America/Los_Angeles,43899.625,43899.625,43899.625,43899.625,-1,-1,-1
20220324 13:04:55 America/Los_Angeles,43899.625,43908.25,43899.625,43907.625,-1,-1,-1
20220324 13:05:00 America/Los_Angeles,43907.625,43909.125,43907.625,43909.125,-1,-1,-1
20220324 13:05:05 America/Los_Angeles,43909.125,43909.375,43909.125,43909.375,-1,-1,-1
20220324 13:05:10 America/Los_Angeles,43909.375,43909.375,43909.375,43909.375,-1,-1,-1
20220324 13:05:15 America/Los_Angeles,43909.375,43909.375,43909.375,43909.375,-1,-1,-1
