Date,Open,High,Low,Close,Volume,Count,WAP
20230322 13:01:00 America/Los_Angeles,26817.375,26819.625,26792.125,26795.625,-1,-1,-1
20230322 13:01:05 America/Los_Angeles,26795.625,26820.125,26795.625,26820.125,-1,-1,-1
20230322 13:01:10 America/Los_Angeles,26820.125,26839.625,26820.125,26839.375,-1,-1,-1
20230322 13:01:15 America/Los_Angeles,26839.375,26848.875,26839.375,26847.375,-1,-1,-1
20230322 13:01:20 America/Los_Angeles,26847.375,26883.5,26847.375,26883.5,-1,-1,-1
20230322 13:01:25 America/Los_Angeles,26883.5,26886.625,26879.75,26886.625,-1,-1,-1
20230322 13:01:30 America/Los_Angeles,26886.625,26886.625,26853.375,26853.375,-1,-1,-1
20230322 13:01:35 America/Los_Angeles,26853.375,26864.375,26853.375,26864.375,-1,-1,-1
20230322 13:01:40 America/Los_Angeles,26864.375,26882.375,26864.375,26877.5,-1,-1,-1
20230322 13:01:45 America/Los_Angeles,26877.5,26877.5,26874.125,26875.375,-1,-1,-1
20230322 13:01:50 America/Los_Angeles,26875.375,26876.375,26875.375,26876.375,-1,-1,-1
20230322 13:01:55 America/Los_Angeles,26876.375,26876.375,26852.875,26852.875,-1,-1,-1
20230322 13:02:00 America/Los_Angeles,26852.875,26868.625,26848.875,26868.625,-1,-1,-1
20230322 13:02:05 America/Los_Angeles,26868.625,26878.0,26868.5,26877.875,-1,-1,-1
20230322 13:02:10 America/Los_Angeles,26877.875,26881.625,26877.875,26881.625,-1,-1,-1
20230322 13:02:15 America/Los_Angeles,26881.625,26882.625,26861.125,26861.125,-1,-1,-1
20230322 13:02:20 America/Los_Angeles,26861.125,26862.25,26859.125,26860.0,-1,-1,-1
20230322 13:02:25 America/Los_Angeles,26860.0,26879.875,26860.0,26869.25,-1,-1,-1
20230322 13:02:30 America/Los_Angeles,26869.25,26869.25,26856.625,26856.625,-1,-1,-1
20230322 13:02:35 America/Los_Angeles,26856.625,26861.5,26856.625,26861.5,-1,-1,-1
20230322 13:02:40 America/Los_Angeles,26861.5,26878.375,26861.5,26878.375,-1,-1,-1
20230322 13:02:45 America/Los_Angeles,26878.375,26878.375,26878.375,26878.375,-1,-1,-1
20230322 13:02:50 America/Los_Angeles,26878.375,26878.375,26860.625,26861.375,-1,-1,-1
20230322 13:02:55 America/Los_Angeles,26861.375,26878.125,26861.375,26878.125,-1,-1,-1
20230322 13:03:00 America/Los_Angeles,26878.125,26884.25,26877.875,26884.25,-1,-1,-1
20230322 13:03:05 America/Los_Angeles,26884.25,26887.875,26884.25,26887.875,-1,-1,-1
20230322 13:03:10 America/Los_Angeles,26887.875,26887.875,26887.875,26887.875,-1,-1,-1
20230322 13:03:15 America/Los_Angeles,26887.875,26890.625,26887.875,26890.625,-1,-1,-1
20230322 13:03:20 America/Los_Angeles,26890.625,26890.625,26887.875,26887.875,-1,-1,-1
20230322 13:03:25 America/Los_Angeles,26887.875,26892.25,26887.875,26892.0,-1,-1,-1
20230322 13:03:30 America/Los_Angeles,26892.0,26905.25,26892.0,26905.25,-1,-1,-1
20230322 13:03:35 America/Los_Angeles,26905.25,26912.375,26905.25,26912.375,-1,-1,-1
20230322 13:03:40 America/Los_Angeles,26912.375,26912.375,26905.625,26905.625,-1,-1,-1
20230322 13:03:45 America/Los_Angeles,26905.625,26905.625,26905.625,26905.625,-1,-1,-1
20230322 13:03:50 America/Los_Angeles,26905.625,26905.625,26891.625,26891.875,-1,-1,-1
20230322 13:03:55 America/Los_Angeles,26891.875,26913.125,26891.875,26913.125,-1,-1,-1
20230322 13:04:00 America/Los_Angeles,26913.125,26917.5,26913.125,26915.875,-1,-1,-1
20230322 13:04:05 America/Los_Angeles,26915.875,26919.375,26915.875,26919.375,-1,-1,-1
20230322 13:04:10 America/Los_Angeles,26919.375,26919.375,26919.375,26919.375,-1,-1,-1
20230322 13:04:15 America/Los_Angeles,26919.375,26935.25,26919.375,26935.125,-1,-1,-1
20230322 13:04:20 America/Los_Angeles,26935.125,26941.875,26932.0,26938.625,-1,-1,-1
20230322 13:04:25 America/Los_Angeles,26938.625,26938.625,26920.875,26921.375,-1,-1,-1
20230322 13:04:30 America/Los_Angeles,26921.375,26921.375,26912.875,26912.875,-1,-1,-1
20230322 13:04:35 America/Los_Angeles,26912.875,26928.5,26907.375,26926.875,-1,-1,-1
20230322 13:04:40 America/Los_Angeles,26926.875,26955.5,26926.875,26954.75,-1,-1,-1
20230322 13:04:45 America/Los_Angeles,26954.75,26959.375,26954.75,26957.25,-1,-1,-1
20230322 13:04:50 America/Los_Angeles,26957.25,26957.625,26951.25,26954.875,-1,-1,-1
20230322 13:04:55 America/Los_Angeles,26954.875,26954.875,26954.125,26954.125,-1,-1,-1
20230322 13:05:00 America/Los_Angeles,26954.125,26959.625,26954.125,26959.625,-1,-1,-1
20230322 13:05:05 America/Los_Angeles,26959.625,26959.625,26959.625,26959.625,-1,-1,-1
20230322 13:05:10 America/Los_Angeles,26959.625,26959.625,26945.625,26945.625,-1,-1,-1
20230322 13:05:15 America/Los_Angeles,26945.625,26945.625,26927.625,26927.625,-1,-1,-1
20230322 13:05:20 America/Los_Angeles,26927.625,26927.625,26927.375,26927.375,-1,-1,-1
20230322 13:05:25 America/Los_Angeles,26927.375,26927.375,26921.625,26921.625,-1,-1,-1
20230322 13:05:30 America/Los_Angeles,26921.625,26921.625,26921.625,26921.625,-1,-1,-1
20230322 13:05:35 America/Los_Angeles,26921.625,26921.625,26921.625,26921.625,-1,-1,-1
20230322 13:05:40 America/Los_Angeles,26921.625,26921.625,26911.125,26911.125,-1,-1,-1
20230322 13:05:45 America/Los_Angeles,26911.125,26911.125,26911.125,26911.125,-1,-1,-1
20230322 13:05:50 America/Los_Angeles,26911.125,26911.125,26911.125,26911.125,-1,-1,-1
20230322 13:05:55 America/Los_Angeles,26911.125,26911.125,26901.375,26901.375,-1,-1,-1
20230322 13:06:00 America/Los_Angeles,26901.375,26901.375,26901.375,26901.375,-1,-1,-1
20230322 13:06:05 America/Los_Angeles,26901.375,26922.0,26901.375,26922.0,-1,-1,-1
20230322 13:06:10 America/Los_Angeles,26922.0,26951.0,26922.0,26950.875,-1,-1,-1
20230322 13:06:15 America/Los_Angeles,26950.875,26950.875,26919.25,26921.125,-1,-1,-1
20230322 13:06:20 America/Los_Angeles,26921.125,26921.125,26905.5,26905.5,-1,-1,-1
20230322 13:06:25 America/Los_Angeles,26905.5,26905.5,26901.375,26901.375,-1,-1,-1
20230322 13:06:30 America/Los_Angeles,26901.375,26901.375,26900.625,26900.625,-1,-1,-1
20230322 13:06:35 America/Los_Angeles,26900.625,26900.625,26889.125,26889.125,-1,-1,-1
20230322 13:06:40 America/Los_Angeles,26889.125,26897.75,26889.125,26891.875,-1,-1,-1
20230322 13:06:45 America/Los_Angeles,26891.875,26891.875,26889.375,26889.375,-1,-1,-1
20230322 13:06:50 America/Los_Angeles,26889.375,26892.125,26889.375,26892.125,-1,-1,-1
